Id_LP;Age;Sex;Nationality;Native_language;Education;Professional_degree;Employment_main;Current_year_study;Institution_type;Time_ spent;Domain;Topic;Experience_time;Id_ LO_1;URL_1;Query_1;Reason_1;Id_ LO_2;URL_2;Query_2;Reason_2;Id_ LO_3;URL_3;Query_3;Reason_3;Comments;LP_documents_extension;Documents_language;Documents_type
1;45-49 years old;Man;Chilean;Spanish;PhD;Laws;Lecturer;;Higher-level institution;5;Law ;Inheritance law in Chile;> 10 years;5011;https://www.bcn.cl/leyfacil/recurso/testamentos;¿Quiénes no pueden ser herederos en Chile?;calidad la fuente, facilidad del texto;5012;https://www.bcn.cl/leyfacil/recurso/posesion-efectiva-sin-testamento;¿Quienes se consideran herederos en Chile?;calidad de la fuente, facilidad del lenguaje;5013;https://sites.google.com/site/posesioneschile/preguntas-frecuentes/-quienes-son-los-herederos;No disponible... esta fuente repite lo consignado en fuentes previas;faltan fuentes fidedignas;No he logrado dar con tres documentos que satisfagan tu exigencia. Apenas con dos, que lo hace a medias.;Short;Spanish;Text
2;40-44 years old;Man;Ecuadorian;Spanish;PhD;Business;Lecturer;;Higher-level institution;5;Finance ;Investment projects;4-5 years;2011;https://raimon.serrahima.com/ebooks/CuadernoContabilidad.pdf;Textos para no financieros;Comprensión de la lectura;2012;http://www.ptolomeo.unam.mx:8080/jspui/bitstream/132.248.52.100/14572/11/Material%20Did%C3%A1ctico.%20Finanzas%20para%20no%20Financieros.pdf;Libro de finanzas para no financieros;Facilidad y comprensión en la lectura;2013;https://www.eoi.es/es/file/18219/download?token=b2b35lFT;Textos para no financieros;Fácil lectura de los conceptos más utilizados en el campo de las finanzas;;Long;Spanish;Text
3;40-44 years old;Man;Ecuadorian;Spanish;PhD;Statistics;Lecturer;;Higher-level institution;5;Computer ;Artificial neural networks;2-3 years;1011;https://en.wikipedia.org/wiki/Machine_learning;machine learning;Vocabulario;1012;https://en.wikipedia.org/wiki/Big_data;big data;Buenba descripción;1013;https://www.youtube.com/watch?v=X3paOmcrTjQ;data science;buen video explicativo;;Short;English;Text/Multimedia
5;60 years or older;Man;Chilean;Spanish;PhD;Computer engineering;Lecturer;;Higher-level institution;5;Computer ;Artificial neural networks;> 10 years;1021;https://puentesdigitales.com/2017/10/18/guia-para-aprender-inteligencia-artificial-sin-excusas-escribe-tu-primera-red-neuronal/;redes neuronales tutorial;Complejidad,  tamaño, ejemplos;1022;https://www.frro.utn.edu.ar/repositorio/catedras/quimica/5_anio/orientadora1/monograias/matich-redesneuronales.pdf;redes neuronales basico;faciliodad lectura, facilidad comprension, contenido;1023;http://ciencia.unam.mx/leer/773/redes-neuronales-artificiales-contribuyen-en-el-desarrollo-de-aplicaciones-en-beneficio-humano;redes neuronales aplicaciones;Buena difusion, aplicaciones;;Long;Spanish;Text
7;35-39 years old;Man;Chilean;Spanish;PhD;Computer engineering;Student;1st year;Research group;5;Computer ;Artificial neural networks;< 1 year;1031;https://www.xataka.com/robotica-e-ia/las-redes-neuronales-que-son-y-por-que-estan-volviendo;redes neuronales y redes profundas;rápido de leer y presenta los conceptos básicos de redes neuronales;1032;http://www.aprendemachinelearning.com/como-funcionan-las-convolutional-neural-networks-vision-por-ordenador/;redes neuronales , redes profundas futuro;entrega concepto generales de redes neuronales profundas y su relación con las redes neuronales clásicas ;1033;https://es.mathworks.com/discovery/deep-learning.html;redes neuronales diferencia redes profundas;entrega conceptos más técnicos que serían importantes si la persona quiere profundizar en el tema;El proyecto se ve muy interesante, quizá por ser temas complejos los estudiantes podrían tener un poco más de tiempo para revisar los documentos seleccionados;Short;Spanish;Text
8;55-59 years old;Man;Ecuadorian;Spanish;PhD;Computer engineering;Lecturer;;Higher-level institution;5;Computer ;Artificial neural networks;< 1 year;1041;https://www.youtube.com/watch?v=V5BYRPJThjE;Redes neuronales profundas;Es importante motivar al estudiante sobre el tema a ser tratado y una de las mejores formas es a través de un video;1042;https://apyrna.wordpress.com/;tipos de redes neuronales + información publicada en el último mes;Es un blog relacionado con aprendizaje profundo e inteligencia artificial y puede ser usado como fuente de consulta;1043;https://www.frro.utn.edu.ar/repositorio/catedras/quimica/5_anio/orientadora1/monograias/matich-redesneuronales.pdf;teoria redes neuronales;es un documento explicativo;Muy interesante la encuesta;Long;Spanish;Text/Multimedia
9;30-34 years old;Woman;Argentinian;Spanish;PhD;Computer engineering;Student;3rd year;Higher-level institution;5;Computer ;Artificial neural networks;< 1 year;1051;https://www.tuinteligenciaartificial.es/las-redes-neuronales-en-la-inteligencia-artificial-explicacion-clara-y-sencilla/;redes neuronales inteligencia artificial;Lectura rápida, con ejemplos claros.;1052;https://zonaia.com/tutoriales-machine-learning/redes-neuronales-profundas/;redes neuronales convencionales y profundas;Porque da una introducción de lo que son las redes neuronales convencionales y las profundas, da un ejemplo de como funcionan y como elegir una red neuronal.;1053;https://www.xataka.com/robotica-e-ia/las-redes-neuronales-que-son-y-por-que-estan-volviendo;aplicabilidad de redes neuronales convencionales y profundas;Articulo completo, con detalles un poco mas técnicos pero con varios aspectos a considerar, dando ejemplos de los SW que las utilizan. ;"Podrían dar un detalle de cual es el experimento que quieren lograr con esta encuesta. Me parece muy interesante y valioso lo que están realizando y me da intriga saber que es. 
La encuesta por su parte es muy clara. Lo único que si remarcaría es el objetivo: 
""inteligencia computacional, redes neuronales convencionales, redes neuronales profundas, son mencionadas a menudo, pero ¿qué son?, ¿cómo funcionan?, ¿en qué se diferencian?""
Porque a veces se pierde que es lo que buscamos.";Short;Spanish;Text
10;55-59 years old;Woman;Argentinian;Spanish;Bachelor;Computer engineering;Lecturer;;Research group;5;Computer ;Artificial neural networks;> 10 years;1061;http://www.cs.us.es/~fsancho/?e=72;red neuronal;confiabilidad del material, publicado en sitio de universidad pública argentina;1062;https://la.mathworks.com/discovery/neural-network.html;red neuronal qué es;sitio cofiable de mathlab;1063;https://adictec.com/que-son-las-redes-neuronales/;redes neuronales ejemplos;valoración de google;Este análisis me llevó a pensar un poco en la forma de enseñanza. Gracias por hacerme pensar un momento en el tema;Short;Spanish;Text
11;40-44 years old;Man;Ecuadorian;Spanish;PhD;Computer engineering;Lecturer;;Higher-level institution;5;Computer ;Artificial neural networks;2-3 years;1071;https://medium.com/@williamkhepri/redes-neuronales-que-son-a64d022298e0;redes neuronales medium;En general los posts escritos en Medium son fáciles de leer y están bien escritos. En este caso, la complejidad y el vocabulario me parecieron adecuados. Además tiene un importante contexto histórico que me parece fundamental para aprender cualquier tema.;1072;https://medium.com/espanol/avances-en-redes-neuronales-705c2efe53d2;medium redes neuronales;es más avanzado que el anterior, enfocándose en los últimos avances de redes neuronales.;1073;https://medium.com/datos-y-ciencia/ense%C3%B1ando-a-una-red-neuronal-a-hablar-espa%C3%B1ol-y-resolver-problemas-matem%C3%A1ticos-8ae3361a8203;redes neuronales medium;es una aplicación específica.;Fue interesante buscar información para público general en el tema. Exitos en el estudio!;Short;Spanish;Text
12;40-44 years old;Man;Chilean;Spanish;PhD;Electronic engineering;Student;1st year;Research group;5;Computer ;Artificial neural networks;< 1 year;1081;http://blog.dropscore.com/las-redes-neuronales-artificiales-y-sus-aplicaciones/;aplicaciones redes neuronales artificiales;Tiene un tamaño adecuado, hace un barrido desde los conceptos hasta las aplicaciones, que pueden ser percibidas por un adolescente .;1082;http://www.aprendemachinelearning.com/breve-historia-de-las-redes-neuronales-artificiales/;historia de las redes neuronales artificiales;Explica los conceptos de redes neuronales desde el punto de vista histórico;1083;http://www.aprendemachinelearning.com/crear-una-red-neuronal-en-python-desde-cero/;como hacer una red neuronal paso a paso;Permite mostrar cómo implementar una red neuronal y aplicar a un robot móvil.;;Short;Spanish;Text
